pplid	pplxid
3474072	3453443
6559623	6559625
3842848	6269184
2745580	2745195
2755036	2752956
2019246	2056746
97466	448924
3473771	3430570
3435050	3433421
3513781	3740330
542794	490099
6607756	490569
579951	509768
542794	525606
1667412	1665479
1671902	1665566
1665936	1665945
1676343	1666063
1673450	1666092
1668382	1666166
1673535	1666442
6600596	1666470
6574630	1666859
1668957	1667338
1678328	1667801
6589588	1668153
1673535	1668710
1678112	1669591
6254131	1669799
1678836	1670412
1676852	1670725
1673535	1670747
1669784	1671616
1678112	1671629
6601943	1671748
6574637	1671992
1665747	1672089
1669535	1672342
6600589	1672353
1668172	1672686
1668382	1672719
6601043	1672910
1673164	1673843
6602216	1673948
1668784	1674116
6589546	1674407
1677780	1674526
1666051	1674820
6600418	1674862
1678836	1674819
1671324	1674888
6574560	1674911
1674463	1675165
1665196	1675347
1669592	1675486
1671665	1675963
1679310	1676020
1675532	1676025
1671143	1676074
1668172	1676063
6589596	1676103
1668382	1676327
6574166	1676802
1676756	1677012
1670781	1677137
1678508	1677690
6589546	1678544
1671143	1678551
6574637	1678702
1670860	1678677
6602676	1678822
6601780	1678970
1675740	1678873
2249900	2245209
290215	290174
585968	586938
488408	824071
1278994	1267447
1993347	1646610
1699927	1713828
1869253	1879087
1910480	1941047
1951307	1951309
2051340	2037643
2275074	2273901
2594641	2456680
2472817	2468795
2316060	2593298
2609906	3344953
292516	291124
503761	465476
512555	530060
556086	553607
462444	872632
1793424	1788885
2501152	2505099
1854746	1852609
1853929	1854365
2111149	2112130
3316606	3184077
3878371	3882518
3649632	3768657
3645070	3771737
3577154	3577272
1950906	1648985
1634924	1650391
2082221	2081838
4042820	2082045
2267057	2269521
2617329	2610408
2749975	2744485
2746354	2746215
2745677	2748465
2751792	2749749
723030	3044007
3185221	3316668
3185082	3343690
489310	520660
3474809	3474791
184745	178147
293758	281172
281184	281176
281289	281177
388088	285496
281184	281187
292954	292238
553505	451919
451889	451966
504457	452937
454388	454590
574946	461698
551544	463057
534274	488066
821735	515851
499742	516870
470083	522855
572843	529788
523176	541253
524923	542957
536098	565912
590519	587452
591803	592256
610224	610232
664471	670979
679782	681259
693908	686999
697678	690440
701419	712796
721253	715437
721181	715757
723044	718958
723002	721018
782615	781942
500800	795251
580892	795252
580892	795257
524305	795258
524305	795259
545735	795260
515246	795511
868024	825295
517911	863996
491141	864010
470063	864138
484440	864141
552225	875577
547073	875581
542794	875583
570756	875588
6607756	875595
6607756	875597
547073	875603
1214439	1214437
1214439	1214438
1214560	1214557
1214560	1214558
1465005	1216077
1215957	1216338
1209746	1185240
1454033	1349962
1136352	1349996
1453990	1349997
1350000	1350001
1350000	1350003
1453991	1453998
1215718	1475067
1484619	1484614
1484619	1484617
1484621	1484622
1484621	1484623
1484619	1484624
1484621	1484627
1517074	1484632
1519942	1484820
1517097	1484832
1542118	1484911
1508291	1495193
1486393	1508726
1514215	1513093
1513475	1513326
1514250	1514230
1634924	1621269
2004817	1621596
1621955	1621940
1621955	1621941
2004856	1623150
1958939	1641891
1735237	1735218
1735234	1735235
1734586	1738672
1752255	1744508
1762331	1748986
1762331	1748987
1761259	1749654
1766273	1749805
1734586	1749945
1766210	1750327
1765740	1754609
1735237	1762845
1762811	1762859
1765136	1763029
1764009	1763066
1768911	1763286
1732687	1769111
1798524	1808090
1932530	1810918
1810821	1816094
1932517	1816099
1791247	1808894
