rue|r
alley|aly
anex|anx
arcade|arc
avenue|av|ave
bayou|byu
beach|bch
blend|bnd
bluff|blf
BLUFFS|blfs
boulevard|boul|boulv|bd|blvd
bottom|btm
branch|BR
bridge|br|brdg
brook|brk
brooks|brks
burg|bg
burgs|bgs
bypass|byp
camp|cp
canyon|cyn
cape|cpe
causeway|cswy
center|ctr
centers|ctrs
circle|cir
circles|cirs
cliff|clf
cliffs|clfs
club|clb
common|cmn
commons|cmns
corner|cor
corners|cors
course|crse
court|ct
courts|crts
cove|cv
coves|cvs
creek|crk
crescent|cres
crest|crst
crossing|xing
crossroad|xrd
crossroads|xrds
curve|curv
dale|dl
dam|dm
divide|dv
drive|dr
drives|drs
estate|est
estates|ests
expressway|expy
extension|ext
extensions|exts
falls|fls
ferry|fry
files|fld
fields|flds
flat|flt
flats|flts
ford|frd
fords|frds
forests|frst
forge|frg
forges|frgs
fork|frk
forks|frks
fort|ft
freeway|fwy
garden|gdn
gardens|gdns
gateway|gtwy
glen||gln
glens|glns
green|grn
greens|grns
grove|grv
groves|grvs
harbor|hbr
harbors|hbrs
haven|hvn
heights|hts
highway|highwy|hiway|hiwy|hway|hwy
hill|hl
hills|hls
hollow|holw
inlet|inlt
island|is
islands|iss
junction|jct
junctions|jcts
key|ky
keys|kys
knoll|knl
knolls|knls
lake|lk
lakes|lks
landing|lndg
lane|ln
light|lgt
ligths|lgts
loaf|lf
lock|lck
locks|lcks
lodge|ldg
manor|mnr
manors|mnrs
meadow|mdw
meadows|mdws
mill|ml
mills|mls
mission|msn
motorway|mtwy
mount|mt
mountain|mtn
mountains|mtns
neck|nck
orchard|orch
overpass|opas
parkway|pkwy
passage|psge
place|pl
plain|pln
plains|plns
plaza|plz
point|pt
points|pts
port|prt
ports|prts
prairie|pr
radial|radl
ranch|rnch
rapid|rpd
rapids|rpds
rest|rst
ridge|rdg
ridges|rdgs
road|rd
route|rte|rt
shoal|shl
shore|shr
shores|shrs
skyway|skwy
spring|spg
springs|spgs
square|sq
squares|sqs
stravenue|stra
stream|strm
street|str|st
streets|sts
summit|smt
terrace|ter
throughway|trwy
trace|trce
trafficway|trfy
trail|trl
trailer|trlr
tunnel|tunl|tunnl
turnpike|tpke
underpass|upas
union|un
unions|uns
valley|vly
valleys|vlys
viaduct|via
view|vw
views|vws
village|vlg
villages|vlgs
ville|vl
vista|vs
well|wl
wells|wls
