
select countrycode,count(countrycode) from openstreetmap group by countrycode order by count(countrycode) desc ;
 countrycode |  count   
-------------+----------
 US          | 15143809
 DE          |  5627751
 FR          |  2158404
 GB          |  2075192
 JP          |  1878814
 CA          |  1596333
 NL          |  1449925
 RU          |  1277147
 IT          |  1118084
 AT          |   954160
 UM          |   914704
 ES          |   862442
 AU          |   709214
 PL          |   582808
 BE          |   574107
 CH          |   537559
 CZ          |   523588
 NZ          |   494634
 SE          |   410417
 DK          |   361518
 BR          |   356247
 FI          |   338557
 AR          |   261539
 CO          |   259226
 MX          |   250807
 PE          |   232783
 UA          |   227779
 IN          |   220607
 ZA          |   205503
 NO          |   194356
 CL          |   189724
 SK          |   175566
 PH          |   170417
 CN          |   165398
 HU          |   162748
 GR          |   161059
 PT          |   153868
 BY          |   150669
 PR          |   147468
 TR          |   137380
 RO          |   133467
 IE          |   129860
 HR          |   121053
 IL          |   119571
 GE          |   115526
 RS          |   111720
 SI          |   106537
 TH          |   102393
 ID          |    97617
 PS          |    92047
 CS          |    89827
 KR          |    85859
 VE          |    83902
 KZ          |    78500
 EC          |    67434
 IR          |    66408
 BG          |    64212
 EG          |    64152
 PK          |    60285
 VN          |    59720
 LT          |    56586
 SA          |    56330
 HT          |    54607
 LV          |    53665
 MD          |    50644
 CD          |    49866
 LU          |    46168
 MY          |    44670
 TN          |    43406
 EE          |    43001
 MM          |    41187
 DZ          |    40573
 IQ          |    39224
 CY          |    35021
 AE          |    33280
 CU          |    31733
 MA          |    30927
 BA          |    29434
 IS          |    29419
 JO          |    28432
 SY          |    28284
 LA          |    28046
 CR          |    27166
 TW          |    26413
 UZ          |    26291
 AL          |    24911
 GT          |    24516
 DO          |    24059
 TF          |    24018
 TM          |    23995
 LY          |    23192
 VA          |    22745
 UY          |    21837
 TT          |    21123
 NG          |    20074
 HK          |    19044
 GP          |    18172
 AF          |    17111
 BO          |    16725
 OM          |    15918
 KP          |    15632
 PY          |    15571
 HN          |    15539
 LB          |    15043
 FJ          |    15035
 KG          |    14683
 ML          |    14190
 CI          |    14024
 BD          |    12836
 MK          |    12722
 ET          |    12146
 AZ          |    11878
 RE          |    11761
 KE          |    11705
 MZ          |    11455
 ZM          |    11372
 LI          |    11330
 BH          |    11202
 YE          |    11076
 PA          |    11071
 SG          |    10919
 ZW          |    10152
 MG          |     9952
 AM          |     9079
 NA          |     8999
 SV          |     8545
 MT          |     8505
 CG          |     8374
 TJ          |     8355
 SD          |     8196
 NC          |     8142
 MQ          |     8092
 AO          |     7918
 CM          |     7741
 LK          |     7620
 BF          |     7491
 ME          |     7289
 NI          |     7174
 JM          |     7055
 TZ          |     6941
 SN          |     6804
 BW          |     6579
 KW          |     6509
 AN          |     6468
 KH          |     6110
 VI          |     5692
 IM          |     5638
 GY          |     5389
 GU          |     5345
 UG          |     5327
 BB          |     5274
 GH          |     5222
 BS          |     5217
 NE          |     4926
 MW          |     4624
 SM          |     3991
 QA          |     3967
 NP          |     3758
 MN          |     3708
 MC          |     3702
 AW          |     3685
 MR          |     3650
 GF          |     3189
 FO          |     3064
 MP          |     3013
 GN          |     2989
 AG          |     2988
 VG          |     2968
 SO          |     2885
 BI          |     2778
 SR          |     2619
 MU          |     2461
 GM          |     2426
 BZ          |     2392
 GI          |     2297
 GD          |     2284
 RW          |     2167
 GG          |     2121
 LS          |     1956
 PG          |     1897
 AS          |     1852
 CF          |     1657
 AD          |     1617
 GQ          |     1535
 KY          |     1527
 BJ          |     1507
 AX          |     1469
 GA          |     1465
 TG          |     1406
 CV          |     1347
 PF          |     1335
 TD          |     1326
 SL          |     1309
 ER          |     1267
 BN          |     1193
 KN          |      956
 MV          |      935
 LC          |      910
 KI          |      900
 LR          |      837
 VC          |      791
 JE          |      766
 SZ          |      732
 GL          |      609
 GW          |      564
 DJ          |      563
 TL          |      502
 PM          |      490
 AI          |      452
 SJ          |      442
 BM          |      428
 SC          |      423
 EH          |      418
 VU          |      387
 DM          |      324
 TC          |      316
 SH          |      292
 FK          |      268
 MH          |      266
 MO          |      237
 SB          |      227
 WS          |      211
 BT          |      203
 WF          |      184
 CK          |      171
 MS          |      160
 KM          |      159
 NU          |      143
 IO          |      123
 PW          |      109
 NF          |       98
 FM          |       82
 AQ          |       79
 TO          |       76
 YT          |       72
 TV          |       43
 ST          |       35
 CX          |       23
 NR          |       21
 PN          |       19
 GS          |       10
 CC          |        2



select countrycode,count(countrycode) from city group by countrycode order by count(countrycode) desc ;
countrycode | count  
-------------+--------
 CN          | 240907
 ID          | 220756
 RU          | 207221
 US          | 178966
 PK          | 103486
 MX          |  93683
 NP          |  78547
 DE          |  78129
 IR          |  77875
 TR          |  72312
 JP          |  65133
 ES          |  61398
 FR          |  59637
 IN          |  50080
 BR          |  49654
 BD          |  48173
 TH          |  46011
 PL          |  43443
 NG          |  42404
 PH          |  41973
 KR          |  40849
 PT          |  39714
 MM          |  39093
 PE          |  35836
 AF          |  31889
 KP          |  31365
 YE          |  30229
 CO          |  28760
 SE          |  27739
 GB          |  27033
 VN          |  26989
 UA          |  26341
 IT          |  24958
 MG          |  24046
 VE          |  23215
 MZ          |  22592
 LT          |  22501
 IQ          |  22378
 CD          |  22215
 BA          |  22011
 MY          |  19638
 AR          |  18747
 LK          |  18006
 CZ          |  17798
 AO          |  16088
 MA          |  15893
 AT          |  15765
 TW          |  15688
 RO          |  15204
 ML          |  14872
 BY          |  14067
 BO          |  13859
 BE          |  13858
 AU          |  13571
 FI          |  13137
 NE          |  13097
 ZM          |  12811
 ZA          |  12292
 LA          |  12215
 GR          |  12133
 HN          |  11917
 HR          |  11641
 TD          |  11566
 PG          |  11172
 CM          |  11125
 BG          |  11050
 HT          |  10799
 CI          |  10640
 ET          |  10505
 KZ          |  10060
 HU          |  10054
 GH          |  10028
 RW          |   9858
 NO          |   9839
 RS          |   9479
 SN          |   9411
 CA          |   9327
 BF          |   9092
 CU          |   8765
 EG          |   8542
 CH          |   8433
 IE          |   8425
 SY          |   8357
 DO          |   8219
 DZ          |   7994
 KH          |   7756
 SL          |   7687
 TZ          |   7532
 NL          |   7391
 DK          |   7374
 SD          |   7152
 EC          |   6795
 GN          |   6786
 BI          |   6769
 GT          |   6324
 PA          |   6189
 CG          |   5803
 CF          |   5688
 UG          |   5556
 SK          |   5421
 LR          |   5385
 GE          |   5072
 UZ          |   4944
 MW          |   4898
 SS          |   4790
 AZ          |   4675
 LV          |   4567
 SO          |   4479
 GW          |   4295
 AL          |   4224
 TG          |   4125
 EE          |   4051
 ME          |   4034
 GA          |   3933
 CL          |   3763
 BJ          |   3649
 SV          |   3502
 SI          |   3430
 LB          |   3208
 SB          |   2999
 TL          |   2883
 SA          |   2765
 NI          |   2706
 KE          |   2582
NZ          |   2514
 PR          |   2502
 TJ          |   2442
 XK          |   2390
 CR          |   2328
 MK          |   2150
 JM          |   2096
 GQ          |   2084
 OM          |   2052
 PY          |   2026
 GM          |   2017
 NA          |   2011
 MD          |   1856
 TN          |   1751
 ZW          |   1721
 BW          |   1697
 MN          |   1530
 VU          |   1234
 FJ          |   1234
 AM          |   1219
 TM          |   1200
 IL          |   1130
 KG          |   1106
 MR          |   1032
 PS          |   1031
 HK          |   1012
 ER          |   1001
 LY          |    803
JO          |    792
 UY          |    758
 LU          |    732
 CY          |    682
 NC          |    617
 GF          |    585
 MU          |    510
 BB          |    501
 MQ          |    496
 IS          |    483
 FM          |    468
 SR          |    444
 KM          |    435
 TT          |    429
 BZ          |    427
 GP          |    417
 WS          |    410
 GY          |    400
 AX          |    365
 AE          |    352
 RE          |    342
 BS          |    339
 PF          |    289
 GD          |    276
 LS          |    276
 GL          |    261
 GG          |    257
 CV          |    251
 VI          |    235
 ST          |    220
 BN          |    220
 BT          |    209
 KI          |    195
 FO          |    190
 LC          |    183
 QA          |    171
 MT          |    169
 SG          |    168
 AS          |    148
 AG          |    123
 KN          |    118
 MH          |    115
 TO          |    109
 AW          |    102
 YT          |    101
 DM          |     98
 BH          |     97
 IM          |     95
 BQ          |     82
 PW          |     79
 SZ          |     79
 MS          |     78
 MV          |     69
 KW          |     68
 VC          |     68
 KY          |     63
 CW          |     61
 AD          |     58
 SX          |     58
 FK          |     56
 MF          |     55
 DJ          |     43
 GU          |     42
 JE          |     42
MP          |     40
 CK          |     40
 AI          |     36
 EH          |     34
 WF          |     32
 LI          |     27
 MC          |     22
 VG          |     22
 TV          |     20
 BM          |     19
 BL          |     17
 SC          |     17
 NU          |     15
 TC          |     15
 SH          |     13
 SM          |     13
 NR          |     12
 SJ          |     10
 MO          |      7
 CX          |      5
 IO          |      4
 AQ          |      4
 PM          |      3
 UM          |      3
 NF          |      3
 TK          |      3
 PN          |      2
 GI          |      2
 GS          |      2
 CC          |      2
 TF          |      1
 VA          |      1
